scientific_name,longitude,latitude
Lobodon carcinophaga,-29.728951,-75.125717
Lobodon carcinophaga,-29.74222,-75.162941
Lobodon carcinophaga,-29.745201,-75.172081
Lobodon carcinophaga,-29.749094,-75.180222
Lobodon carcinophaga,-30.296156,-75.072548
Lobodon carcinophaga,-30.275059,-75.03054
Lobodon carcinophaga,-30.274157,-75.025536
Lobodon carcinophaga,-30.269392,-75.008011
Lobodon carcinophaga,-30.273993,-75.023407
Lobodon carcinophaga,-30.273829,-75.022179
Lobodon carcinophaga,-30.238148,-74.931412
Lobodon carcinophaga,-30.241083,-74.937828
Lobodon carcinophaga,-30.240166,-74.935982
Lobodon carcinophaga,-30.234453,-74.925552
Lobodon carcinophaga,-30.234453,-74.925552
Lobodon carcinophaga,-30.252018,-74.966652
Lobodon carcinophaga,-30.22967,-74.912056
Lobodon carcinophaga,-30.224171,-74.896553
Lobodon carcinophaga,-30.221907,-74.891533
Lobodon carcinophaga,-30.208559,-74.860954
Lobodon carcinophaga,-30.196175,-74.825951
Lobodon carcinophaga,-30.195089,-74.823471
Lobodon carcinophaga,-30.194126,-74.821014
Lobodon carcinophaga,-30.181902,-74.793457
Lobodon carcinophaga,-30.187649,-74.805672
Lobodon carcinophaga,-30.175222,-74.778366
Lobodon carcinophaga,-30.163643,-74.756004
Lobodon carcinophaga,-30.152126,-74.727669
Lobodon carcinophaga,-30.152126,-74.727669
Lobodon carcinophaga,-30.156967,-74.741722
Lobodon carcinophaga,-30.148783,-74.718117
Lobodon carcinophaga,-30.125772,-74.650856
Lobodon carcinophaga,-30.112597,-74.617554
Lobodon carcinophaga,-30.110367,-74.611214
Lobodon carcinophaga,-30.109068,-74.608124
Lobodon carcinophaga,-30.103556,-74.594131
Lobodon carcinophaga,-30.087484,-74.544006
Lobodon carcinophaga,-30.062464,-74.471466
Lobodon carcinophaga,-30.061468,-74.469048
Lobodon carcinophaga,-30.058168,-74.460609
Lobodon carcinophaga,-30.041523,-74.422592
Lobodon carcinophaga,-30.022499,-74.374695
Lobodon carcinophaga,-30.001009,-74.318123
Lobodon carcinophaga,-30.729004,-74.222893
Lobodon carcinophaga,-30.730078,-74.227928
Lobodon carcinophaga,-30.731377,-74.234886
Lobodon carcinophaga,-30.731606,-74.237968
Lobodon carcinophaga,-30.731422,-74.260521
Lobodon carcinophaga,-30.731459,-74.277756
Lobodon carcinophaga,-30.732866,-74.289909
Lobodon carcinophaga,-30.734112,-74.307823
Lobodon carcinophaga,-30.73525,-74.397781
Lobodon carcinophaga,-30.736427,-74.391998
Lobodon carcinophaga,-30.738937,-74.471817
Lobodon carcinophaga,-30.738937,-74.471817
Lobodon carcinophaga,-30.745207,-74.545197
Lobodon carcinophaga,-30.745781,-74.578377
Lobodon carcinophaga,-30.755795,-74.689537
Lobodon carcinophaga,-30.762774,-74.729935
Lobodon carcinophaga,-30.76502,-74.748703
Lobodon carcinophaga,-30.765089,-74.749252
Lobodon carcinophaga,-30.770226,-74.779427
Lobodon carcinophaga,-30.781891,-74.826767
Lobodon carcinophaga,-30.781055,-74.824837
Lobodon carcinophaga,-30.78746,-74.851639
Lobodon carcinophaga,-30.823971,-74.966591
Lobodon carcinophaga,-31.558355,-74.861076
Lobodon carcinophaga,-31.553699,-74.82563
Lobodon carcinophaga,-31.53787,-74.724251
Lobodon carcinophaga,-31.532614,-74.706245
Lobodon carcinophaga,-31.521339,-74.659874
